UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_rolling_3,Process temperature [K]_rolling_3,Rotational speed [rpm]_rolling_3,Torque [Nm]_rolling_3,Tool wear [min]_rolling_3,Air temperature [K]_rolling_5,Process temperature [K]_rolling_5,Rotational speed [rpm]_rolling_5,Torque [Nm]_rolling_5,Tool wear [min]_rolling_5,Air temperature [K]_rolling_10,Process temperature [K]_rolling_10,Rotational speed [rpm]_rolling_10,Torque [Nm]_rolling_10,Tool wear [min]_rolling_10,Temperature_diff,Temperature_ratio,Power,Power_per_temp,Efficiency,Wear_rate
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,298.8,308.9,1469.3333333333333,45.93333333333333,111.66666666666667,298.8,309.02,1441.0,48.040000000000006,118.0,298.83000000000004,309.13,1449.9,45.7,91.0,10.0,1.033467202141901,7.550314136125654,0.024450499145484632,1.5100628272251309,4.0
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,298.8666666666667,308.90000000000003,1449.0,45.96666666666667,69.33333333333333,298.84000000000003,308.98,1453.8,47.11999999999999,98.0,298.87,309.12,1451.2,45.660000000000004,90.1,10.0,1.0334448160535117,6.601089005235602,0.02136274758975923,0.31433757167788584,20.0
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,298.9,308.8666666666666,1500.6666666666667,42.166666666666664,33.0,298.86,308.9,1493.0,42.88,86.0,298.88,309.08000000000004,1482.7,43.480000000000004,92.6,9.900000000000034,1.0331214452994313,5.550439790575917,0.017974222119740663,0.07303210250757786,75.0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,298.8666666666666,308.8,1518.6666666666667,40.03333333333333,59.666666666666664,298.84,308.82,1493.4,42.82,73.4,298.86,309.01,1495.1,43.56,95.2,9.900000000000034,1.0331436223635757,6.827905759162304,0.022125423717311417,0.08032830304896828,84.0
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,298.76666666666665,308.6333333333334,1513.3333333333333,40.63333333333333,100.66666666666667,298.82,308.74,1484.2,43.14,65.2,298.82,308.91999999999996,1456.0,45.67,101.8,9.800000000000011,1.032808838299297,6.795183246073299,0.02202652591920032,0.04718877254217569,143.0
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,298.73333333333335,308.56666666666666,1456.0,46.199999999999996,125.66666666666667,298.82,308.70000000000005,1485.0,43.04,94.4,298.81000000000006,308.86,1463.0,45.540000000000006,106.2,9.800000000000011,1.0327978580990629,7.495350785340313,0.024288239745107947,0.0496380846711279,150.0
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,298.7,308.5,1425.3333333333333,48.53333333333333,152.33333333333334,298.74,308.58,1479.2,44.36,123.2,298.79,308.78,1466.5,45.74,110.6,9.799999999999955,1.0328198258539851,7.4401570680628275,0.02412502291849166,0.04509186101856259,164.0
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,298.6333333333334,308.46666666666664,1489.3333333333333,45.333333333333336,162.66666666666666,298.66,308.5,1477.4,45.04,143.0,298.76,308.7,1485.2,43.959999999999994,114.5,9.899999999999977,1.0331658291457286,6.093528795811519,0.019758523981230607,0.03482016454749439,174.0
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,298.5,308.3333333333333,1668.6666666666667,35.46666666666666,178.66666666666666,298.6,308.41999999999996,1575.0,40.3,165.8,298.72,308.62,1534.2,41.56,119.6,9.800000000000011,1.0328418230563003,4.119643979057591,0.013366787732179078,0.020701728537977845,198.0
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,298.43333333333334,308.26666666666665,1692.3333333333333,33.13333333333333,192.66666666666666,298.54,308.36,1586.6,39.86,178.4,298.67999999999995,308.55,1535.4,41.5,121.8,9.800000000000011,1.0328418230563003,6.732251308900524,0.02184377452595887,0.03252295318309432,206.0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,298.4,308.2,1692.3333333333333,31.96666666666667,138.0,298.46,308.28,1619.2,36.5,150.4,298.64,308.49,1552.1,39.77,122.4,9.800000000000011,1.0328418230563003,5.502743455497383,0.017854456377343876,0.5002494050452166,10.0
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,298.4,308.23333333333335,1516.0,39.666666666666664,77.0,298.41999999999996,308.26,1629.4,34.980000000000004,120.6,298.58,308.42,1554.3,39.67,121.9,9.900000000000034,1.033176943699732,6.549549738219895,0.021244079592020418,0.4093468586387434,15.0
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,298.3333333333333,308.26666666666665,1631.3333333333333,33.233333333333334,24.666666666666668,298.35999999999996,308.23999999999995,1671.8,32.6,95.6,298.51,308.37,1574.6,38.82,119.3,10.100000000000023,1.0338698859825621,4.622073298429319,0.014992128765583259,0.09244146596858638,49.0
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,298.26666666666665,308.3333333333333,1560.0,39.63333333333333,46.666666666666664,298.32,308.28000000000003,1554.0,39.0,71.2,298.46,308.35,1564.5,39.65,118.5,10.199999999999989,1.0342052313883299,7.5828691099476435,0.024587772730050726,0.09847881960970965,76.0
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,298.2,308.3666666666667,1633.3333333333333,36.86666666666667,68.66666666666667,298.28,308.32,1594.0,37.22,46.2,298.40999999999997,308.34000000000003,1590.3,38.540000000000006,112.3,10.199999999999989,1.0342052313883299,6.079455497382199,0.019712890717841113,0.0741397011875878,81.0
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,298.23333333333335,308.46666666666664,1502.6666666666667,45.300000000000004,82.66666666666667,298.26,308.4,1558.0,40.6,62.4,298.36,308.34000000000003,1588.6,38.55,106.4,10.300000000000011,1.0345289976533691,7.422408376963351,0.024051874196251946,0.08067835192351469,91.0
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,298.29999999999995,308.56666666666666,1484.6666666666667,45.666666666666664,100.66666666666667,298.26,308.48,1535.2,42.6,85.4,298.34,308.37,1582.3,38.79,103.0,10.300000000000011,1.0345174262734584,7.4447748691099465,0.024116536667022827,0.05683034251228967,130.0
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,298.3666666666666,308.59999999999997,1534.3333333333333,42.233333333333334,124.66666666666667,298.29999999999995,308.52,1535.8,42.620000000000005,106.2,298.33,308.38,1603.8,37.61,100.9,10.100000000000023,1.0338471849865953,4.6488062827225125,0.015069064125518679,0.03018705378391242,153.0
267,H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,298.26666666666665,308.43333333333334,1537.0,40.3,106.66666666666667,298.26,308.46,1544.2,41.0,98.4,298.28999999999996,308.37,1549.1,40.0,84.8,10.100000000000023,1.0338926174496645,6.58931937172775,0.021386950249035214,0.17340314136125656,37.0
269,H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,298.09999999999997,308.2,1689.0,30.933333333333334,78.0,298.2,308.38,1568.6,39.040000000000006,91.0,298.24,308.35,1581.3,38.13,68.6,10.100000000000023,1.0339039946290702,4.67434554973822,0.015176446590059156,0.10387434554973822,44.0
271,H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,297.9666666666667,308.0333333333333,1586.6666666666667,36.03333333333334,44.0,298.14,308.26,1586.2,37.06,83.0,298.2,308.33000000000004,1572.1,38.83,72.7,10.0,1.0335570469798658,6.30282722513089,0.02046372475691847,0.12120821586790173,51.0
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,297.9666666666667,308.0,1599.6666666666667,38.36666666666667,55.0,298.06,308.12,1613.2,36.620000000000005,71.0,298.15999999999997,308.3,1574.2,39.61,78.2,10.0,1.0335570469798658,7.85186387434555,0.025493064527095943,0.11058963203303593,70.0
289,H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,298.06666666666666,308.1333333333334,1461.3333333333333,44.166666666666664,73.0,298.02,308.1,1524.8,40.2,60.0,298.15999999999997,308.31,1530.3,41.410000000000004,83.1,10.199999999999989,1.0342052313883299,6.120104712041885,0.019844697509863445,0.0618192395155746,98.0
294,H29707,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,298.1,308.3,1418.6666666666667,45.9,93.0,298.04,308.18,1515.2,40.42,74.8,298.15,308.32,1529.7,40.71,86.6,10.399999999999977,1.0348876216034886,6.530010471204188,0.02116697073323886,0.05830366492146597,111.0
299,H29712,H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,298.06666666666666,308.4666666666667,1635.3333333333333,35.233333333333334,111.66666666666667,298.03999999999996,308.28000000000003,1581.0,39.2,91.2,298.12,308.33,1574.8,39.12,91.1,10.600000000000023,1.0355824102047668,4.168827225130889,0.013513216288916984,0.032825411221503065,126.0
303,H29716,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,297.93333333333334,308.46666666666664,1677.6666666666667,32.86666666666667,125.0,298.0,308.36,1579.4,38.3,108.6,298.07,308.31,1582.8,37.67999999999999,95.8,10.599999999999966,1.035594358629953,5.557193717277487,0.018019434880925705,0.039979810915665374,138.0
311,H29724,H,298.0,308.6,1526,41.8,160,0,0,0,0,0,0,297.90000000000003,308.5,1722.3333333333333,31.866666666666664,141.33333333333334,298.0,308.48,1588.8,36.52,126.6,298.03000000000003,308.3,1601.0,36.57,98.8,10.600000000000023,1.0355704697986579,6.679246073298429,0.021643700820798535,0.04148600045526974,160.0
321,H29734,H,297.8,308.4,1550,38.2,185,0,0,0,0,0,0,297.8666666666667,308.46666666666664,1529.3333333333333,38.36666666666667,161.0,297.92,308.47999999999996,1621.8,35.72,144.0,297.96999999999997,308.29,1573.3,37.96,102.0,10.599999999999966,1.035594358629953,6.200000000000001,0.02010376134889754,0.03333333333333334,185.0
329,H29742,H,297.6,308.4,1703,31.4,205,0,0,0,0,0,0,297.8,308.4666666666667,1593.0,37.13333333333333,183.33333333333334,297.82,308.46,1684.0,33.040000000000006,162.8,297.93,308.32,1599.6,36.730000000000004,118.8,10.799999999999955,1.036290322580645,5.5993926701570675,0.01815626676445223,0.027181517816296446,205.0
330,H29743,H,297.7,308.5,1720,29.9,210,0,0,0,0,0,0,297.70000000000005,308.43333333333334,1657.6666666666667,33.166666666666664,200.0,297.78,308.46,1602.2,35.279999999999994,179.6,297.90999999999997,308.37,1591.6,37.239999999999995,135.4,10.800000000000011,1.0362781323480015,5.3851308900523565,0.017455853776506828,0.0255219473462197,210.0
351,H29764,H,297.6,308.3,1400,44.3,43,0,0,0,0,0,0,297.6333333333334,308.40000000000003,1607.6666666666667,35.199999999999996,152.66666666666666,297.74,308.44,1579.8,37.12,160.6,297.87,308.4,1579.6,37.709999999999994,134.6,10.699999999999989,1.0359543010752688,6.494240837696334,0.021064679979553465,0.14759638267491668,43.0
354,H29767,H,297.5,308.3,1674,30.0,54,0,0,0,0,0,0,297.59999999999997,308.3666666666666,1598.0,34.73333333333333,102.33333333333333,297.64,308.38,1609.4,34.760000000000005,139.4,297.82,308.42999999999995,1599.1,35.64,133.0,10.800000000000011,1.0363025210084034,5.2586387434554975,0.017056888561321756,0.09561161351737268,54.0
363,H29776,H,297.6,308.3,1640,30.9,79,0,0,0,0,0,0,297.56666666666666,308.3,1571.3333333333333,35.06666666666666,58.666666666666664,297.6,308.36,1627.4,33.3,118.2,297.76000000000005,308.42,1624.6,34.51,131.1,10.699999999999989,1.0359543010752688,5.306387434554974,0.017211765924602575,0.06632984293193718,79.0
370,H29783,H,297.5,308.4,1587,36.1,98,0,0,0,0,0,0,297.53333333333336,308.3333333333333,1633.6666666666667,32.333333333333336,77.0,297.58000000000004,308.36,1604.2,34.239999999999995,96.8,297.7,308.41,1644.1,33.64,129.8,10.899999999999977,1.0366386554621847,5.999026178010472,0.01945209525943733,0.060596224020307794,98.0
399,H29812,H,297.4,308.3,1502,43.6,169,0,0,0,0,0,0,297.5,308.3333333333333,1576.3333333333333,36.86666666666667,115.33333333333333,297.52000000000004,308.32,1560.6,36.980000000000004,88.6,297.65,308.39,1581.4,36.13,134.1,10.900000000000034,1.0366509751176867,6.857298429319372,0.02224229136983254,0.0403370495842316,169.0
442,H29855,H,297.5,308.5,1393,46.6,56,0,0,0,0,0,0,297.46666666666664,308.40000000000003,1494.0,42.1,107.66666666666667,297.5,308.36,1559.2,37.44,91.2,297.62,308.4,1569.5,37.28,125.9,11.0,1.0369747899159665,6.797256544502618,0.022033246497577368,0.1192501148158354,56.0
444,H29857,H,297.4,308.5,1469,45.1,63,0,0,0,0,0,0,297.43333333333334,308.43333333333334,1454.6666666666667,45.1,96.0,297.47999999999996,308.4,1518.2,40.46,93.0,297.56,308.39,1563.8,37.61,116.2,11.100000000000023,1.0373234700739746,6.937371727748692,0.022487428615068694,0.10839643324607331,63.0
452,H29865,H,297.5,308.6,1440,46.1,84,0,0,0,0,0,0,297.4666666666667,308.53333333333336,1434.0,45.93333333333334,67.66666666666667,297.46,308.46,1478.2,43.5,94.0,297.53000000000003,308.40999999999997,1552.8,38.4,106.1,11.100000000000023,1.037310924369748,6.951204188481675,0.02252496496591599,0.08177887280566677,84.0
457,H29870,H,297.3,308.7,1478,47.6,98,0,0,0,0,0,0,297.40000000000003,308.6,1462.3333333333333,46.26666666666667,81.66666666666667,297.41999999999996,308.52,1456.4,45.8,94.0,297.5,308.44,1530.3,40.019999999999996,95.4,11.399999999999977,1.0383451059535822,7.366785340314136,0.023863898089776923,0.07441197313448622,98.0
461,H29874,H,297.3,308.6,1431,42.0,109,0,0,0,0,0,0,297.3666666666666,308.6333333333333,1449.6666666666667,45.23333333333334,97.0,297.4,308.58000000000004,1442.2,45.480000000000004,82.0,297.46,308.45,1501.4,41.230000000000004,85.3,11.300000000000011,1.0380087453750422,6.293403141361257,0.020393399680367,0.05721275583055688,109.0
471,H29884,H,297.3,308.8,1499,44.2,134,0,0,0,0,0,0,297.3,308.7,1469.3333333333333,44.6,113.66666666666667,297.36,308.64,1463.4,45.00000000000001,97.6,297.43,308.5,1511.3,41.22,94.4,11.5,1.0386814665321225,6.937780104712042,0.02246690448417112,0.051390963738607714,134.0
472,H29885,H,297.3,308.8,1419,42.4,139,0,0,0,0,0,0,297.3,308.73333333333335,1449.6666666666667,42.866666666666674,127.33333333333333,297.34000000000003,308.7,1453.4,44.46,112.8,297.41,308.55,1485.8,42.46,102.9,11.5,1.0386814665321225,6.300062827225131,0.02040175786018501,0.04500044876589379,139.0
478,H29891,H,297.4,309.0,1468,41.4,156,0,0,0,0,0,0,297.3333333333333,308.8666666666667,1462.0,42.666666666666664,143.0,297.32000000000005,308.78000000000003,1459.0,43.519999999999996,127.2,297.39,308.62,1468.6,43.510000000000005,110.6,11.600000000000023,1.0390047074646942,6.3638952879581145,0.02059513038174147,0.040534364891452956,156.0
496,H29909,H,297.5,309.3,1459,49.7,201,0,0,0,0,0,0,297.40000000000003,309.0333333333333,1448.6666666666667,44.5,165.33333333333334,297.36,308.90000000000003,1455.2,43.940000000000005,147.8,297.39,308.71000000000004,1455.8,44.87,120.9,11.800000000000011,1.0396638655462185,7.592910994764398,0.024548693807838338,0.03758866829091286,201.0
508,H29921,H,297.8,309.4,1445,48.2,10,0,0,0,0,0,0,297.56666666666666,309.23333333333335,1457.3333333333333,46.43333333333334,122.33333333333333,297.46,309.06,1458.0,45.18,128.0,297.43,308.82000000000005,1450.1,45.33,105.0,11.599999999999966,1.038952316991269,7.293089005235602,0.023571716241873313,0.6630080913850548,10.0
536,H29949,H,297.4,309.3,1365,52.4,76,0,0,0,0,0,0,297.56666666666666,309.3333333333333,1423.0,50.1,95.66666666666667,297.48,309.16,1431.2,46.82,116.4,297.42,308.9,1447.3,45.910000000000004,107.0,11.900000000000034,1.0400134498991258,7.489633507853403,0.02421478664032785,0.09726796763445979,76.0
538,H29951,H,297.4,309.3,1516,43.0,83,0,0,0,0,0,0,297.53333333333336,309.3333333333333,1442.0,47.866666666666674,56.333333333333336,297.5,309.26,1450.6,46.94,105.2,297.41999999999996,308.98,1452.0,45.7,109.0,11.900000000000034,1.0400134498991258,6.825968586387434,0.022069086926567845,0.0812615307903266,83.0
544,H29957,H,297.5,309.3,1563,36.1,100,0,0,0,0,0,0,297.43333333333334,309.3,1481.3333333333333,43.833333333333336,86.33333333333333,297.52,309.32000000000005,1469.6,45.88,94.0,297.41999999999996,309.05,1464.3,44.7,110.6,11.800000000000011,1.0396638655462185,5.908303664921466,0.019102178030783918,0.05849805608833135,100.0
555,H29968,H,297.5,309.4,1368,45.3,129,0,0,0,0,0,0,297.46666666666664,309.3333333333333,1482.3333333333333,41.46666666666667,104.0,297.52,309.34,1451.4,45.0,79.6,297.43999999999994,309.12,1453.3,44.47,113.7,11.899999999999977,1.0399999999999998,6.489047120418848,0.020973002974850833,0.049915747080144984,129.0
565,H29978,H,297.6,309.6,1669,32.1,155,0,0,0,0,0,0,297.53333333333336,309.43333333333334,1533.3333333333333,37.833333333333336,128.0,297.48,309.38,1496.2,41.78,108.6,297.47,309.21999999999997,1477.1,43.480000000000004,118.3,12.0,1.0403225806451613,5.6099371727748695,0.01811995210844596,0.03596113572291583,155.0
566,H29979,H,297.7,309.7,1570,35.8,160,0,0,0,0,0,0,297.59999999999997,309.56666666666666,1535.6666666666667,37.733333333333334,148.0,297.53999999999996,309.46,1537.2,38.46,125.4,297.51,309.31,1484.2,42.64,120.9,12.0,1.0403090359422238,5.88544502617801,0.019003697210778204,0.03655555916880751,160.0
577,H29990,H,297.7,309.7,1440,51.1,191,0,0,0,0,0,0,297.6666666666667,309.6666666666667,1559.6666666666667,39.666666666666664,168.66666666666666,297.6,309.53999999999996,1522.0,40.08,147.0,297.55,309.4,1486.3,43.51,126.1,12.0,1.0403090359422238,7.705130890052356,0.024879337714085747,0.04013089005235602,191.0
584,H29997,H,297.7,309.6,1697,32.2,210,0,0,0,0,0,0,297.7,309.6666666666667,1569.0,39.699999999999996,187.0,297.64,309.6,1548.8,39.3,169.0,297.58000000000004,309.46000000000004,1509.2,42.59,131.5,11.900000000000034,1.039973127309372,5.721821989528796,0.018481337175480606,0.02711763976079998,210.0
585,H29998,H,297.6,309.6,1419,48.2,215,0,0,0,0,0,0,297.6666666666667,309.6333333333333,1518.6666666666667,43.833333333333336,205.33333333333334,297.65999999999997,309.64,1559.0,39.88,186.2,297.59000000000003,309.49,1505.2,42.440000000000005,132.9,12.0,1.0403225806451613,7.16186387434555,0.0231326352530541,0.033156777196044214,215.0
588,H30001,H,297.6,309.5,1623,33.1,224,0,0,0,0,0,0,297.6333333333334,309.56666666666666,1579.6666666666667,37.833333333333336,216.33333333333334,297.65999999999997,309.62,1549.8,40.08,200.0,297.57,309.5,1523.0,40.92999999999999,154.3,11.899999999999977,1.0399865591397848,5.6252670157068065,0.018175337692105997,0.025001186736474695,224.0
592,H30005,H,297.5,309.3,1525,41.7,235,0,0,0,0,0,0,297.56666666666666,309.4666666666667,1522.3333333333333,41.00000000000001,224.66666666666666,297.62,309.54,1540.8,41.260000000000005,215.0,297.58,309.5,1539.0,39.86,170.2,11.800000000000011,1.0396638655462185,6.65890052356021,0.021528938000517975,0.028215680184577163,235.0
593,H30006,H,297.5,309.5,1668,27.9,240,0,0,0,0,0,0,297.53333333333336,309.43333333333334,1605.3333333333333,34.23333333333334,233.0,297.58000000000004,309.5,1586.4,36.62,224.8,297.59,309.52,1554.2,38.35,185.9,12.0,1.0403361344537816,4.873005235602094,0.015744766512446186,0.02021993873693815,240.0
595,H30008,H,297.6,309.6,1278,50.4,2,0,0,0,0,0,0,297.5333333333333,309.4666666666667,1490.3333333333333,40.0,159.0,297.56,309.5,1502.6,40.260000000000005,183.2,297.6,309.55,1525.7,39.779999999999994,176.1,12.0,1.0403225806451613,6.744628272251308,0.021784975039571407,2.2482094240837696,2.0
598,H30011,H,297.6,309.6,1428,46.6,13,0,0,0,0,0,0,297.56666666666666,309.56666666666666,1458.0,41.63333333333333,85.0,297.56000000000006,309.50000000000006,1504.4,39.94,142.8,297.61,309.57000000000005,1531.7,39.910000000000004,164.5,12.0,1.0403225806451613,6.9680418848167545,0.022506595235196235,0.497717277486911,13.0
600,H30013,H,297.7,309.7,1616,31.1,20,0,0,0,0,0,0,297.6333333333333,309.6333333333334,1440.6666666666667,42.699999999999996,11.666666666666666,297.58000000000004,309.53999999999996,1503.0,39.54,102.0,297.62,309.58000000000004,1526.4,39.81,151.0,12.0,1.0403090359422238,5.262575916230367,0.01699249569334959,0.250598853153827,20.0
617,H30030,H,298.1,309.9,1686,29.1,60,0,0,0,0,0,0,297.8,309.7333333333333,1576.6666666666667,35.6,31.0,297.7,309.65999999999997,1535.2,37.02,67.0,297.66,309.6,1538.0,39.14,141.0,11.799999999999955,1.0395840322039582,5.137445026178011,0.016577750971855477,0.0842204102652133,60.0
619,H30032,H,298.2,310.0,1433,44.2,68,0,0,0,0,0,0,298.0,309.8666666666666,1578.3333333333333,34.800000000000004,49.333333333333336,297.84000000000003,309.76,1488.2,40.28,32.6,297.71000000000004,309.63,1537.3,38.45,128.7,11.800000000000011,1.039570757880617,6.632314136125655,0.021394561729437597,0.09612049472645877,68.0
625,H30038,H,298.3,310.1,1509,37.6,85,0,0,0,0,0,0,298.2,310.0,1542.6666666666667,36.96666666666667,71.0,297.98,309.86,1534.4,37.720000000000006,49.2,297.77,309.67999999999995,1518.5,38.989999999999995,116.2,11.800000000000011,1.039557492457258,5.941193717277487,0.019158960713568162,0.06908364787531962,85.0
633,H30046,H,298.3,310.0,1419,47.1,105,0,0,0,0,0,0,298.26666666666665,310.03333333333336,1453.6666666666667,42.96666666666667,86.0,298.12,309.93999999999994,1532.6,37.82000000000001,67.6,297.84000000000003,309.71999999999997,1518.5,38.88,105.2,11.699999999999989,1.0392222594703318,6.99841884816754,0.022575544671508192,0.06602281932233528,105.0
645,H30058,H,297.7,309.4,1608,30.2,135,0,0,0,0,0,0,298.09999999999997,309.8333333333333,1512.0,38.300000000000004,108.33333333333333,298.12,309.88,1531.0,37.64,90.6,297.85,309.71,1517.0,38.59,96.3,11.699999999999989,1.039301310043668,5.084984293193717,0.01643498478731001,0.03738959039113027,135.0
649,H30062,H,297.7,309.3,1400,48.9,147,0,0,0,0,0,0,297.90000000000003,309.56666666666666,1475.6666666666667,42.06666666666667,129.0,298.04,309.76,1473.8,41.6,108.0,297.87,309.71000000000004,1504.5,39.31,87.5,11.600000000000023,1.0389654014108163,7.168586387434555,0.023176806942885726,0.04843639450969294,147.0
670,H30083,H,297.5,308.9,1471,37.7,197,0,0,0,0,0,0,297.6333333333334,309.2,1493.0,38.93333333333333,159.66666666666666,297.9,309.54,1481.4,40.3,133.8,297.87,309.65,1484.8,40.290000000000006,83.2,11.399999999999977,1.0383193277310923,5.806984293193718,0.018798913218496985,0.029328203500978374,197.0
677,H30090,H,297.9,309.2,1577,34.7,5,0,0,0,0,0,0,297.7,309.1333333333333,1482.6666666666667,40.43333333333333,116.33333333333333,297.82,309.35999999999996,1495.0,39.72,117.8,297.9,309.61,1514.7,38.72,83.5,11.300000000000011,1.0379321920107418,5.730041884816754,0.018531830157880836,0.9550069808027923,5.0
683,H30096,H,297.8,309.0,1410,48.8,23,0,0,0,0,0,0,297.7333333333333,309.0333333333333,1486.0,40.4,75.0,297.71999999999997,309.15999999999997,1493.2,40.06,101.4,297.91999999999996,309.55,1512.9,38.940000000000005,84.5,11.199999999999989,1.0376091336467428,7.205026178010471,0.02331723682204036,0.30020942408376966,23.0
